timestamp,ciclo,zona_id,zona_nome,perfil,consumo_mw,consumo_liquido_mw,capacidade_mw,pct_carga,risco,solar_mw,eolica_mw,geracao_total_mw,autoprod_pct,pot_ativa_kw,pot_aparente_kva,pot_reativa_kvar,corrente_mt_a,frequencia_hz,tensao_fase_a_v,tensao_fase_b_v,tensao_fase_c_v,tensao_media_v,desequilibrio_tensao_pct,thd_tensao_pct,fator_potencia,ve_postos_total,ve_postos_em_uso,ve_ocupacao_pct,ve_demanda_kw,bat_capacidade_mwh,bat_soc_pct,bat_disponivel_mwh,bat_modo,evento,anomalia_tipo,anomalia_grav,num_unidades,clima_temp_c,clima_umidade_pct,clima_vento_ms,clima_irrad_wm2,clima_sensacao_c
2026-05-02T11:27:18,1,zona_norte,Zona Norte,residencial,5.0432,4.4521,18.0,28.02,BAIXO,0.5911,0.0,0.5911,11.7,5043.2,5382.28,1880.18,225.18,60.185,221.4,218.2,217.0,218.9,1.14,1.87,0.937,8,3,33.1,18.98,0.5,45.9,0.229,STANDBY,,,,12000,27.2,81.0,2.0,614.6,32.8
2026-05-02T11:27:18,1,zona_sul,Zona Sul,comercial,18.1392,17.7495,30.0,60.46,MÉDIO,0.3897,0.0,0.3897,2.1,18139.2,19154.38,6153.02,801.36,59.917,215.3,212.4,209.7,212.5,1.32,2.7,0.947,25,10,38.0,61.82,2.0,65.7,1.314,STANDBY,,,,3500,27.2,81.0,2.0,614.6,32.8
2026-05-02T11:27:18,1,zona_leste,Zona Leste,residencial_popular,5.5285,5.4262,15.0,36.86,BAIXO,0.1023,0.0,0.1023,1.9,5528.5,5746.88,1569.18,240.43,60.058,216.6,215.0,216.1,215.9,0.42,3.5,0.962,3,1,29.8,5.53,0.2,41.4,0.083,STANDBY,,,,18000,27.2,81.0,2.0,614.6,32.8
2026-05-02T11:27:18,1,zona_oeste,Zona Oeste,industrial,39.1993,36.6283,60.0,65.33,MÉDIO,2.571,0.0,2.571,6.6,39199.3,41701.38,14227.44,1744.66,59.866,210.3,212.7,211.4,211.5,0.57,3.67,0.94,15,6,37.2,44.91,8.0,63.7,5.096,STANDBY,,,,450,27.2,81.0,2.0,614.6,32.8
2026-05-02T11:27:18,1,zona_centro,Centro,misto,11.745,11.5566,25.0,46.98,BAIXO,0.1884,0.0,0.1884,1.6,11745.0,12454.93,4144.91,521.08,59.992,217.9,216.0,216.9,216.9,0.46,2.76,0.943,40,16,39.0,93.47,1.5,50.6,0.759,STANDBY,,,,8000,27.2,81.0,2.0,614.6,32.8
2026-05-02T11:27:18,1,zona_hospitalar,Zona Hospitalar,critico,7.1375,6.8388,12.0,59.48,MÉDIO,0.2987,0.0,0.2987,4.2,7137.5,7434.9,2081.79,311.05,59.964,213.3,213.3,213.2,213.3,0.05,1.99,0.96,5,1,26.8,6.54,3.0,52.2,1.566,STANDBY,,,,120,27.2,81.0,2.0,614.6,32.8
2026-05-02T11:27:18,1,zona_universitaria,Zona Universitária,educacional,4.3086,3.5591,10.0,43.09,BAIXO,0.7495,0.0,0.7495,17.4,4308.6,4451.03,1116.98,186.22,60.004,213.9,217.0,217.4,216.1,1.02,2.83,0.968,20,5,25.1,28.65,1.0,61.4,0.614,STANDBY,,,,600,27.2,81.0,2.0,614.6,32.8
2026-05-02T11:27:18,1,zona_aeroporto,Zona Aeroporto,logistico,10.8937,9.3877,22.0,49.52,BAIXO,1.506,0.0,1.506,13.8,10893.7,11663.49,4167.05,487.97,59.995,215.0,213.6,216.2,214.9,0.6,2.32,0.934,50,22,43.6,126.72,4.0,40.1,1.604,STANDBY,,,,200,27.2,81.0,2.0,614.6,32.8
2026-05-02T11:27:23,2,zona_norte,Zona Norte,residencial,5.0069,4.5291,18.0,27.82,BAIXO,0.4778,0.0,0.4778,9.5,5006.9,5183.13,1340.07,216.85,60.144,217.7,218.7,218.3,218.2,0.23,3.14,0.966,8,3,36.5,21.43,0.5,36.1,0.18,STANDBY,,,,12000,26.2,58.8,1.6,514.4,23.5
2026-05-02T11:27:23,2,zona_sul,Zona Sul,comercial,18.1161,17.7898,30.0,60.39,MÉDIO,0.3263,0.0,0.3263,1.8,18116.1,19563.82,7385.8,818.49,59.887,213.6,213.1,214.7,213.8,0.42,1.84,0.926,25,10,40.8,55.2,2.0,53.6,1.072,STANDBY,,,,3500,26.2,58.8,1.6,514.4,23.5
